上海,北京三快在线科技有限公司,"技能培训,绩效奖金,岗位晋升,领导好",Python开发主管/经理（运维开发）,18k-35k,"移动互联网,O2O/D轮及以上",本科/3-5年
上海,微瞰智能科技（上海）有限公司,"股票期权,绩效奖金,年终分红,弹性工作",Python开发工程师,10k-15k,"数据服务,医疗健康/天使轮",本科/1-3年
上海,上海华钦软件技术有限公司,"年底双薪,绩效奖金,专项奖金,五险一金",python开发工程师,20k-35k,"金融,招聘/不需要融资",本科/5-10年
上海,杉德巍康企业服务有限公司,"年底双薪,五险一金,带薪年假,午餐补助",python开发,15k-20k,金融/D轮及以上,本科/3-5年
上海,北京推想科技有限公司,"午餐补助,股票期权,定期体检,弹性工作",python工程师,6k-12k,"医疗健康,数据服务/B轮",大专/1年以下
上海,拉扎斯网络科技（上海）有限公司,"节日礼物,绩效奖金,年度旅游,岗位晋升",高级Python工程师,15k-25k,移动互联网/D轮及以上,本科/3-5年
上海,众应互联科技股份有限公司,"领导好,扁平管理,技能培训,管理规范",Python开发工程师,12k-20k,"电子商务,游戏/上市公司",本科/3-5年
上海,互道信息技术（上海）有限公司,"节日礼物,技能培训,年底双薪,绩效奖金",Python开发,8k-15k,"移动互联网,电子商务/B轮",本科/1-3年
上海,上海犀语科技有限公司,,高级Python工程师,15k-25k,"数据服务,金融/天使轮",本科/3-5年
上海,沪江教育科技（上海）股份有限公司,"技能培训,节日礼物,年底双薪,专项奖金",python架构师,30k-40k,"移动互联网,教育/D轮及以上",大专/5-10年
上海,上海守易信息科技有限公司,"""""",python高级工程师,15k-25k,"移动互联网,电子商务/天使轮",本科/1-3年
上海,上海司睿杰建筑科技有限公司,"专项奖金,交通补助,午餐补助,通讯津贴",python开发工程师,10k-15k,"移动互联网,企业服务/不需要融资",本科/1-3年
上海,上海拿米金融信息服务有限公司,"年底双薪,股票期权,带薪年假,通讯津贴",大数据应用工程师-Python,20k-40k,"移动互联网,金融/不需要融资",大专/3-5年
上海,上海晶赫网络科技有限公司,"""""",Python高级开发工程师,20k-30k,"移动互联网,金融/不需要融资",本科/3-5年
上海,金车信息科技（上海）有限公司,,资深工程师php和python,20k-30k,"企业服务,数据服务/天使轮",本科/3-5年
上海,上海炫体信息科技有限公司,"节日礼物,年底双薪,专项奖金,带薪年假",Python（年轻人的狂欢）,12k-20k,"移动互联网,社交网络/不需要融资",大专/1-3年
上海,上海诺诺镑客金融信息服务有限公司,"晋升快速,年终分红,管理扁平,股票期权",python 开发工程师,15k-25k,"移动互联网,金融/A轮",本科/1-3年
上海,北京众标网络科技有限公司上海分公司,"股票期权,带薪年假,年度旅游,扁平管理",python开发工程师,15k-20k,"电子商务,企业服务/A轮",本科/1-3年
上海,金车信息科技（上海）有限公司,,资深Python工程师,8k-10k,"企业服务,数据服务/天使轮",本科/1-3年
上海,上海隆达软件股份有限公司,,Python工程师,15k-30k,移动互联网/未融资,本科/3-5年
上海,上海掘东信息技术有限公司,"股票期权,带薪年假,定期体检,节日礼物",Python 开发工程师,14k-28k,移动互联网/不需要融资,本科/3-5年
上海,北京京东世纪贸易有限公司,"五险一金,带薪年假,免费班车,定期体检",Python资深开发工程师,18k-36k,"电子商务,数据服务/上市公司",本科/5-10年
上海,上海抱元网络科技有限公司,"专项奖金,绩效奖金,弹性工作,扁平管理",python开发工程师,8k-15k,"移动互联网,数据服务/不需要融资",本科/1-3年
上海,上海勃池信息技术有限公司,"股票期权,扁平管理,岗位晋升,五险一金",Python开发工程师,10k-20k,"金融,数据服务/天使轮",本科/1-3年
上海,上海数腾软件科技有限公司,"技能培训,节日礼物,年底双薪,股票期权",python高级工程师,15k-25k,数据服务/未融资,本科/3-5年
上海,上海磬闻荷信息科技有限公司,"""""",高级Python软件开发工程师[闵行],12k-24k,移动互联网/天使轮,不限/3-5年
上海,上海岛昌爱佳医学科技股份有限公司,"年底双薪,技能培训,带薪年假,绩效奖金",Python开发工程师,15k-20k,医疗健康/未融资,本科/3-5年
上海,上海骞云信息科技有限公司,"年底双薪,股票期权,带薪年假,定期体检",资深Python开发工程师,18k-36k,"企业服务,数据服务/B轮",本科/3-5年
上海,千言信息技术（上海）有限公司,"股票期权,20天年假,高端医疗保险,学习基金计划",Python,15k-30k,"电子商务,教育/A轮",本科/5-10年
上海,上海泛微网络科技股份有限公司,"技能培训,带薪年假,绩效奖金,岗位晋升",运维工程师（python自动化运维）,7k-12k,"移动互联网,企业服务/上市公司",本科/1-3年
